id;planned;done;done_comment
1;2019-05-15T10:54:17;2019-05-15T13:08:54;Gloves sky blue Oklahoma
2;2019-05-15T09:18:55;2019-05-15T10:16:49;Engineer
3;2019-05-14T19:54:32;2019-05-15T13:04:57;Moroccan Dirham
4;2019-05-15T01:54:47;2019-05-15T11:47:11;zero tolerance
5;2019-05-15T18:07:19;2019-05-15T12:36:17;Analyst paradigms
6;2019-05-15T18:12:51;2019-05-15T12:19:12;Investor Public-key
7;2019-05-15T15:31:48;2019-05-15T06:15:54;Way Dominican Republic
8;2019-05-15T04:46:58;2019-05-15T02:52:35;navigate
9;2019-05-15T13:18:15;2019-05-15T13:11:44;cross-platform Point Orchestrator
10;2019-05-15T09:26:08;2019-05-15T06:08:56;Licensed hacking installation
